Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
66016	3.3126e-002	3.2249e-002	4.921e-002	4.1172e-006
66017	3.3021e-002	3.1957e-002	4.9232e-002	3.6142e-006
66018	3.2978e-002	3.2499e-002	4.9173e-002	4.6278e-006
66025	3.142e-002	3.1758e-002	4.9159e-002	3.0708e-006
66030	2.9344e-002	3.2116e-002	4.9131e-002	4.1933e-006
66031	2.9419e-002	3.1726e-002	4.9172e-002	3.3491e-006
66032	2.9779e-002	3.1697e-002	4.9163e-002	3.2112e-006
66033	2.9593e-002	3.241e-002	4.9092e-002	4.9193e-006
66038	3.0143e-002	3.1666e-002	4.916e-002	3.0605e-006
66039	3.0725e-002	3.1907e-002	4.9129e-002	3.347e-006
66040	3.0045e-002	3.2022e-002	4.912e-002	3.767e-006
66045	3.0008e-002	3.2997e-002	4.9032e-002	6.8963e-006
66046	2.9833e-002	3.2729e-002	4.9057e-002	5.8826e-006
66047	2.9956e-002	3.2403e-002	4.9083e-002	4.7495e-006
66048	3.0294e-002	3.2324e-002	4.9086e-002	4.3736e-006
66053	3.0952e-002	3.2165e-002	4.9104e-002	3.8116e-006
66054	3.0629e-002	3.224e-002	4.9093e-002	4.0441e-006
66055	3.0537e-002	3.2576e-002	4.9061e-002	4.9539e-006
66060	3.2516e-002	3.2239e-002	4.9162e-002	4.0937e-006
66061	3.1984e-002	3.1977e-002	4.9157e-002	3.5154e-006
66065	3.1629e-002	3.2033e-002	4.9135e-002	3.5624e-006
66066	3.1282e-002	3.2097e-002	4.9117e-002	3.6559e-006
66067	3.1174e-002	3.2423e-002	4.9082e-002	4.3696e-006
66068	3.1829e-002	3.2312e-002	4.9115e-002	4.1565e-006
66072	3.0457e-002	3.2895e-002	4.9035e-002	6.0923e-006
66073	3.079e-002	3.2779e-002	4.9045e-002	5.4674e-006
66077	3.1089e-002	3.2736e-002	4.9053e-002	5.2434e-006
66078	3.1391e-002	3.2685e-002	4.9064e-002	5.0676e-006
66079	3.0987e-002	3.3038e-002	4.9027e-002	6.3431e-006
66084	2.9981e-002	3.3733e-002	4.8988e-002	1.2113e-005
66085	3.0022e-002	3.3384e-002	4.9006e-002	9.0918e-006
66086	3.0256e-002	3.3149e-002	4.9017e-002	7.428e-006
66087	3.0546e-002	3.327e-002	4.9008e-002	7.7654e-006
66092	3.0854e-002	3.3339e-002	4.9005e-002	7.8543e-006
66093	3.115e-002	3.3306e-002	4.9012e-002	7.532e-006
66094	3.0689e-002	3.359e-002	4.899e-002	9.6873e-006
66098	3.2861e-002	3.2746e-002	4.9141e-002	5.2169e-006
66099	3.2698e-002	3.2498e-002	4.915e-002	4.6562e-006
66100	3.237e-002	3.254e-002	4.9123e-002	4.7557e-006
66105	3.2032e-002	3.2587e-002	4.9099e-002	4.8526e-006
66106	3.1704e-002	3.2635e-002	4.908e-002	4.9488e-006
66107	3.1597e-002	3.2951e-002	4.905e-002	5.9506e-006
66108	3.2232e-002	3.2853e-002	4.9088e-002	5.6231e-006
66114	3.4168e-002	3.5356e-002	4.9183e-002	7.6706e-006
66118	3.1477e-002	3.3261e-002	4.9024e-002	7.26e-006
66119	3.1335e-002	3.3569e-002	4.9001e-002	9.0623e-006
66120	3.1795e-002	3.3214e-002	4.9039e-002	7.0076e-006
66126	3.3518e-002	3.345e-002	4.9153e-002	6.5009e-006
66131	3.3629e-002	3.4066e-002	4.9136e-002	7.6937e-006
66135	3.409e-002	3.5039e-002	4.9172e-002	7.8045e-006
66136	3.3873e-002	3.5293e-002	4.9146e-002	8.4016e-006
66137	3.3779e-002	3.4631e-002	4.9138e-002	8.2721e-006
66143	3.3274e-002	3.3204e-002	4.9144e-002	6.1527e-006
66144	3.3053e-002	3.2978e-002	4.914e-002	5.7274e-006
66145	3.2777e-002	3.3024e-002	4.9113e-002	5.9982e-006
66146	3.3191e-002	3.3536e-002	4.9116e-002	7.1371e-006
66151	3.2439e-002	3.3105e-002	4.9082e-002	6.4096e-006
66152	3.211e-002	3.3163e-002	4.9058e-002	6.7321e-006
66153	3.2009e-002	3.3479e-002	4.9033e-002	8.23e-006
66154	3.2656e-002	3.335e-002	4.9082e-002	7.1385e-006
66159	3.3294e-002	3.414e-002	4.9099e-002	8.6171e-006
66160	3.3518e-002	3.4396e-002	4.9114e-002	8.609e-006
66161	3.3431e-002	3.4719e-002	4.9099e-002	9.4031e-006
66165	3.3089e-002	3.3866e-002	4.909e-002	8.2968e-006
66166	3.2876e-002	3.3602e-002	4.9085e-002	7.7815e-006
66167	3.2557e-002	3.3672e-002	4.9057e-002	8.5587e-006
66168	3.296e-002	3.4192e-002	4.9067e-002	9.7037e-006
66173	2.9831e-002	3.4137e-002	4.8975e-002	1.7209e-005
66174	2.9684e-002	3.453e-002	4.8968e-002	2.2759e-005
66175	3.0173e-002	3.3995e-002	4.8973e-002	1.5265e-005
66180	3.1899e-002	3.3797e-002	4.9011e-002	1.0325e-005
66181	3.2235e-002	3.3749e-002	4.9032e-002	9.4846e-006
66182	3.247e-002	3.4001e-002	4.9036e-002	1.0356e-005
66188	3.0525e-002	3.3879e-002	4.8975e-002	1.2858e-005
66189	3.0863e-002	3.3884e-002	4.8977e-002	1.2148e-005
66190	3.038e-002	3.4283e-002	4.8962e-002	2.0663e-005
66195	2.7654e-002	3.4894e-002	4.9098e-002	8.4704e-006
66196	2.7963e-002	3.5024e-002	4.9067e-002	9.7563e-006
66197	2.7385e-002	3.5157e-002	4.9126e-002	7.5165e-006
66198	2.8069e-002	3.5349e-002	4.9059e-002	1.0025e-005
66202	2.7132e-002	3.5457e-002	4.9158e-002	6.6219e-006
66203	2.75e-002	3.5522e-002	4.9116e-002	7.625e-006
66208	2.817e-002	3.5698e-002	4.9056e-002	9.8566e-006
66209	2.7839e-002	3.5601e-002	4.9083e-002	8.6941e-006
66210	2.7611e-002	3.5864e-002	4.9112e-002	7.496e-006
66215	3.3346e-002	3.5024e-002	4.9088e-002	1.0033e-005
66216	3.3048e-002	3.4795e-002	4.9062e-002	1.0991e-005
66221	3.1196e-002	3.3875e-002	4.8983e-002	1.172e-005
66222	3.1541e-002	3.3833e-002	4.8995e-002	1.1064e-005
66223	3.1763e-002	3.4104e-002	4.8993e-002	1.3307e-005
66224	3.1068e-002	3.4169e-002	4.8969e-002	1.5839e-005
66228	3.2806e-002	3.4496e-002	4.9046e-002	1.132e-005
66229	3.2632e-002	3.423e-002	4.904e-002	1.0964e-005
66230	3.2308e-002	3.4286e-002	4.9016e-002	1.2629e-005
66231	3.2712e-002	3.4811e-002	4.9034e-002	1.2766e-005
66235	3.1957e-002	3.4359e-002	4.8994e-002	1.5043e-005
66236	3.1615e-002	3.4411e-002	4.8978e-002	1.7886e-005
66237	3.2128e-002	3.4585e-002	4.8998e-002	1.5831e-005
66241	3.1726e-002	3.5002e-002	4.8974e-002	2.4401e-005
66246	2.9583e-002	3.4869e-002	4.8967e-002	2.5237e-005
66247	2.991e-002	3.4759e-002	4.8959e-002	3.1098e-005
66253	3.0942e-002	3.4476e-002	4.8959e-002	2.4664e-005
66254	3.1284e-002	3.4455e-002	4.8966e-002	2.1412e-005
66255	3.1479e-002	3.4726e-002	4.8967e-002	2.5157e-005
66256	3.1411e-002	3.5064e-002	4.8963e-002	3.4946e-005
66260	3.0245e-002	3.4647e-002	4.8955e-002	3.4061e-005
66261	3.0592e-002	3.4556e-002	4.8955e-002	2.8934e-005
66262	3.0141e-002	3.4983e-002	4.8953e-002	4.5023e-005
66263	3.0808e-002	3.4833e-002	4.8952e-002	5.2674e-005
66272	3.3673e-002	3.559e-002	4.9127e-002	8.8737e-006
66273	3.3563e-002	3.5302e-002	4.9111e-002	9.3407e-006
66274	3.3176e-002	3.5362e-002	4.9073e-002	1.0787e-005
66278	3.4182e-002	3.6273e-002	4.9208e-002	7.0282e-006
66279	3.3909e-002	3.5848e-002	4.916e-002	8.0374e-006
66280	3.3592e-002	3.5897e-002	4.9125e-002	8.7969e-006
66285	3.2598e-002	3.5126e-002	4.9024e-002	1.4049e-005
66286	3.2375e-002	3.4826e-002	4.901e-002	1.5144e-005
66287	3.2043e-002	3.4918e-002	4.899e-002	1.8854e-005
66288	3.1944e-002	3.5249e-002	4.8985e-002	2.0981e-005
66291	3.3478e-002	3.7405e-002	4.9196e-002	5.9538e-006
66294	3.3039e-002	3.7556e-002	4.9167e-002	5.8463e-006
66299	3.2832e-002	3.8027e-002	4.9195e-002	4.7892e-006
66304	3.2799e-002	3.5419e-002	4.9041e-002	1.2639e-005
66305	3.3026e-002	3.5688e-002	4.9065e-002	1.1086e-005
66306	3.2464e-002	3.5451e-002	4.9017e-002	1.4841e-005
66310	3.3637e-002	3.7123e-002	4.9192e-002	6.4046e-006
66311	3.3676e-002	3.6494e-002	4.9158e-002	7.6133e-006
66312	3.3353e-002	3.7146e-002	4.9164e-002	6.6435e-006
66318	3.3248e-002	3.595e-002	4.9092e-002	9.7465e-006
66319	3.3487e-002	3.6207e-002	4.9124e-002	8.5672e-006
66320	3.2899e-002	3.602e-002	4.9063e-002	1.0801e-005
66321	3.3324e-002	3.6561e-002	4.9124e-002	8.1335e-006
66324	3.1269e-002	3.5363e-002	4.896e-002	3.7971e-005
66325	3.105e-002	3.5091e-002	4.8954e-002	6.1934e-005
66326	3.0706e-002	3.5128e-002	4.895e-002	8.3585e-005
66331	3.1806e-002	3.5566e-002	4.8982e-002	2.1187e-005
66332	3.2133e-002	3.5474e-002	4.8997e-002	1.7817e-005
66333	3.2337e-002	3.5775e-002	4.9015e-002	1.4568e-005
66336	3.2605e-002	3.789e-002	4.9163e-002	5.078e-006
66337	3.2565e-002	3.819e-002	4.9192e-002	4.4048e-006
66343	3.3083e-002	3.7235e-002	4.9145e-002	6.6503e-006
66344	3.2843e-002	3.7394e-002	4.9137e-002	6.3489e-006
66345	3.3179e-002	3.6904e-002	4.913e-002	7.4602e-006
66346	3.2982e-002	3.6641e-002	4.9097e-002	8.5527e-006
66350	3.2637e-002	3.7592e-002	4.9138e-002	5.8463e-006
66351	3.2388e-002	3.7726e-002	4.9132e-002	5.4598e-006
66352	3.2629e-002	3.7246e-002	4.9108e-002	6.897e-006
66357	3.2563e-002	3.6073e-002	4.9038e-002	1.1936e-005
66358	3.2783e-002	3.6361e-002	4.9066e-002	9.9896e-006
66359	3.2229e-002	3.6104e-002	4.9018e-002	1.315e-005
66360	3.2651e-002	3.6721e-002	4.9075e-002	8.826e-006
66367	3.203e-002	3.8122e-002	4.9151e-002	4.3463e-006
66372	3.1481e-002	3.5659e-002	4.8971e-002	2.426e-005
66373	3.1132e-002	3.566e-002	4.8961e-002	2.7333e-005
66374	3.168e-002	3.5893e-002	4.8984e-002	1.8176e-005
66379	3.2479e-002	3.6997e-002	4.908e-002	7.8904e-006
66380	3.2291e-002	3.7254e-002	4.9086e-002	6.9628e-006
66381	3.2314e-002	3.6729e-002	4.9052e-002	9.2469e-006
66385	3.1895e-002	3.6157e-002	4.9002e-002	1.4034e-005
66386	3.2131e-002	3.6438e-002	4.9026e-002	1.1209e-005
66387	3.1544e-002	3.6207e-002	4.8989e-002	1.4342e-005
66388	3.1976e-002	3.6751e-002	4.9034e-002	9.398e-006
66393	3.213e-002	3.7822e-002	4.9126e-002	5.1218e-006
66394	3.2175e-002	3.754e-002	4.9103e-002	5.9585e-006
66395	3.1801e-002	3.7909e-002	4.9118e-002	4.7269e-006
66396	3.2014e-002	3.7309e-002	4.9075e-002	6.7197e-006
66400	3.0047e-002	3.5297e-002	4.8955e-002	3.8291e-005
66401	3.0358e-002	3.5211e-002	4.895e-002	5.8044e-005
66402	3.0584e-002	3.5443e-002	4.8952e-002	4.0342e-005
66409	2.8911e-002	3.5074e-002	4.8997e-002	1.6118e-005
66410	2.9256e-002	3.4984e-002	4.8979e-002	2.0191e-005
66411	2.8737e-002	3.5448e-002	4.9009e-002	1.3863e-005
66412	2.9495e-002	3.5223e-002	4.8969e-002	2.376e-005
66416	3.1223e-002	3.6254e-002	4.8982e-002	1.3653e-005
66417	3.1434e-002	3.6528e-002	4.9e-002	1.0958e-005
66422	3.0799e-002	3.5666e-002	4.8957e-002	2.6405e-005
66423	3.1004e-002	3.5964e-002	4.8967e-002	1.8052e-005
66424	3.0461e-002	3.5744e-002	4.8957e-002	2.3374e-005
66425	3.0888e-002	3.6289e-002	4.8977e-002	1.2642e-005
66431	3.1836e-002	3.7054e-002	4.9047e-002	7.7593e-006
66432	3.1645e-002	3.6795e-002	4.9022e-002	9.1095e-006
66433	3.171e-002	3.7354e-002	4.9064e-002	6.394e-006
66434	3.1308e-002	3.6848e-002	4.9014e-002	8.4914e-006
66439	3.0913e-002	3.8621e-002	4.9172e-002	2.8384e-006
66440	3.1369e-002	3.8256e-002	4.9139e-002	3.6891e-006
66444	3.1481e-002	3.7947e-002	4.9109e-002	4.4275e-006
66445	3.1595e-002	3.765e-002	4.9085e-002	5.3054e-006
66446	3.1384e-002	3.74e-002	4.9056e-002	5.9714e-006
66447	3.1151e-002	3.7992e-002	4.9105e-002	4.1063e-006
66450	2.9732e-002	3.5396e-002	4.8963e-002	2.6625e-005
66451	2.9949e-002	3.5591e-002	4.896e-002	2.6348e-005
66452	2.9459e-002	3.5567e-002	4.8974e-002	2.0113e-005
66457	3.0577e-002	3.8666e-002	4.9176e-002	2.6483e-006
66458	3.0697e-002	3.8349e-002	4.9138e-002	3.181e-006
66466	3.0151e-002	3.5821e-002	4.8962e-002	2.1056e-005
66467	3.0339e-002	3.6047e-002	4.8966e-002	1.5935e-005
66468	2.9836e-002	3.5865e-002	4.8969e-002	1.8932e-005
66472	3.0979e-002	3.6911e-002	4.9011e-002	7.7483e-006
66473	3.1163e-002	3.7164e-002	4.9032e-002	6.7053e-006
66474	3.1052e-002	3.7444e-002	4.9052e-002	5.5388e-006
66480	3.0805e-002	3.6638e-002	4.8993e-002	9.2925e-006
66481	3.0547e-002	3.6308e-002	4.8976e-002	1.2089e-005
66482	3.0249e-002	3.6383e-002	4.8981e-002	1.1409e-005
66483	3.065e-002	3.694e-002	4.901e-002	7.3341e-006
66489	3.0813e-002	3.8034e-002	4.9104e-002	3.8262e-006
66490	3.0932e-002	3.7735e-002	4.9076e-002	4.5942e-006
66491	3.0482e-002	3.8078e-002	4.9107e-002	3.606e-006
66492	3.0718e-002	3.7484e-002	4.9051e-002	5.1917e-006
66497	2.9939e-002	3.6479e-002	4.899e-002	1.0628e-005
66498	3.0147e-002	3.674e-002	4.9e-002	8.4859e-006
66502	2.9206e-002	3.5847e-002	4.8991e-002	1.5037e-005
66503	2.9529e-002	3.587e-002	4.8978e-002	1.7048e-005
66504	2.968e-002	3.6139e-002	4.8982e-002	1.4225e-005
66505	2.9583e-002	3.6488e-002	4.9e-002	1.0429e-005
66509	3.0028e-002	3.8431e-002	4.9151e-002	2.8756e-006
66510	2.967e-002	3.8775e-002	4.9203e-002	2.3305e-006
66514	3.0498e-002	3.7246e-002	4.9032e-002	5.9235e-006
66515	3.0325e-002	3.6978e-002	4.9013e-002	7.0664e-006
66516	3.0392e-002	3.7512e-002	4.9053e-002	4.9881e-006
66517	3.0014e-002	3.7046e-002	4.9022e-002	6.7771e-006
66520	3.0154e-002	3.8123e-002	4.9115e-002	3.4438e-006
66521	3.0272e-002	3.7812e-002	4.9082e-002	4.1451e-006
66522	2.9825e-002	3.8169e-002	4.9126e-002	3.3218e-006
66523	3.0071e-002	3.7564e-002	4.9062e-002	4.7964e-006
66527	2.8015e-002	3.6257e-002	4.9087e-002	7.7649e-006
66531	2.8518e-002	3.583e-002	4.9032e-002	1.1082e-005
66532	2.8264e-002	3.6051e-002	4.9058e-002	9.1982e-006
66533	2.8871e-002	3.5835e-002	4.9009e-002	1.2978e-005
66534	2.8967e-002	3.6197e-002	4.9015e-002	1.1173e-005
66535	2.8291e-002	3.6401e-002	4.907e-002	8.0571e-006
66538	2.9684e-002	3.7092e-002	4.9033e-002	6.6069e-006
66539	2.9873e-002	3.7322e-002	4.9045e-002	5.6205e-006
66540	2.9741e-002	3.7602e-002	4.9072e-002	4.6912e-006
66544	2.949e-002	3.6831e-002	4.9023e-002	7.9582e-006
66545	2.9226e-002	3.6509e-002	4.9016e-002	9.7675e-006
66546	2.8877e-002	3.6546e-002	4.9036e-002	8.8459e-006
66547	2.9339e-002	3.7104e-002	4.9047e-002	6.517e-006
66552	2.9499e-002	3.8225e-002	4.9143e-002	3.2016e-006
66553	2.9618e-002	3.7892e-002	4.9103e-002	3.9156e-006
66554	2.9408e-002	3.7639e-002	4.9087e-002	4.5885e-006
66559	2.9203e-002	3.7387e-002	4.9074e-002	5.3713e-006
66560	2.9002e-002	3.7127e-002	4.9065e-002	6.2675e-006
66561	2.9073e-002	3.7676e-002	4.9106e-002	4.4484e-006
66566	2.8965e-002	3.8004e-002	4.9144e-002	3.629e-006
66567	2.8752e-002	3.7734e-002	4.913e-002	4.2244e-006
66571	2.8258e-002	3.6741e-002	4.909e-002	6.8089e-006
66572	2.8535e-002	3.6602e-002	4.9061e-002	7.861e-006
66573	2.8799e-002	3.6896e-002	4.9061e-002	7.0463e-006
66574	2.8666e-002	3.7185e-002	4.9089e-002	5.808e-006
66577	2.7398e-002	3.6137e-002	4.9144e-002	6.4632e-006
66578	2.7714e-002	3.6177e-002	4.9112e-002	7.1674e-006
66579	2.7781e-002	3.648e-002	4.9119e-002	6.6057e-006
66583	2.8539e-002	3.7479e-002	4.9121e-002	4.8117e-006
66584	2.8427e-002	3.7784e-002	4.9157e-002	3.9934e-006
66585	2.8336e-002	3.7236e-002	4.9117e-002	5.3571e-006
66589	2.7948e-002	3.6752e-002	4.9117e-002	6.2303e-006
66590	2.8135e-002	3.6999e-002	4.9116e-002	5.8192e-006
66591	2.7654e-002	3.6738e-002	4.9145e-002	5.7561e-006
66592	2.8011e-002	3.7282e-002	4.9148e-002	4.9242e-006
66597	2.853e-002	3.8294e-002	4.9203e-002	2.9985e-006
66603	2.6832e-002	3.5458e-002	4.9196e-002	5.8907e-006
66604	2.6991e-002	3.5803e-002	4.9182e-002	5.9722e-006
66611	2.7336e-002	3.6722e-002	4.9179e-002	5.27e-006
66612	2.7496e-002	3.7021e-002	4.918e-002	4.9198e-006
66616	2.6558e-002	3.5265e-002	4.9231e-002	5.394e-006
66617	2.644e-002	3.564e-002	4.9253e-002	4.9972e-006
66622	2.9398e-002	3.8902e-002	4.923e-002	2.1473e-006
66623	2.9419e-002	3.8563e-002	4.9185e-002	2.6201e-006
66624	2.9184e-002	3.8286e-002	4.9163e-002	3.0775e-006
66625	2.8849e-002	3.8315e-002	4.9184e-002	3.0017e-006
66626	2.8696e-002	3.8596e-002	4.9227e-002	2.5299e-006
66631	3.3573e-002	3.7703e-002	4.9233e-002	5.3035e-006
66632	3.3293e-002	3.7641e-002	4.9198e-002	5.5496e-006
66633	3.3073e-002	3.7844e-002	4.9197e-002	5.1689e-006
66634	3.309e-002	3.817e-002	4.9232e-002	4.5103e-006
66638	3.4267e-002	3.6554e-002	4.9233e-002	6.5511e-006
66639	3.3932e-002	3.7115e-002	4.9225e-002	6.123e-006
66640	3.3972e-002	3.6507e-002	4.9193e-002	7.0688e-006
66641	3.3803e-002	3.6815e-002	4.919e-002	6.8071e-006
66645	2.8447e-002	3.2077e-002	4.9188e-002	4.063e-006
66646	2.8756e-002	3.1947e-002	4.9181e-002	3.8415e-006
66647	2.8795e-002	3.1575e-002	4.9222e-002	3.1492e-006
66652	2.6645e-002	3.4881e-002	4.9219e-002	5.631e-006
66653	2.6265e-002	3.5068e-002	4.9274e-002	4.8891e-006
66657	2.7343e-002	3.3896e-002	4.9156e-002	6.5481e-006
66658	2.7267e-002	3.4299e-002	4.915e-002	6.8553e-006
66659	2.6947e-002	3.458e-002	4.9183e-002	6.2459e-006
66660	2.6606e-002	3.437e-002	4.9233e-002	5.4089e-006
66665	2.7911e-002	3.2496e-002	4.9191e-002	4.6759e-006
66666	2.8176e-002	3.2258e-002	4.919e-002	4.3414e-006
66667	2.7555e-002	3.233e-002	4.9242e-002	4.1056e-006
66668	2.8176e-002	3.1927e-002	4.9226e-002	3.6957e-006
66673	3.158e-002	3.1406e-002	4.9209e-002	2.5854e-006
66674	3.1194e-002	3.1492e-002	4.9186e-002	2.6685e-006
66679	2.744e-002	3.3481e-002	4.9166e-002	6.0683e-006
66680	2.7538e-002	3.3048e-002	4.9183e-002	5.4072e-006
66681	2.7182e-002	3.2882e-002	4.9236e-002	4.6761e-006
66682	2.701e-002	3.366e-002	4.9207e-002	5.5542e-006
66687	3.0231e-002	3.1296e-002	4.9206e-002	2.4892e-006
66688	3.0837e-002	3.1554e-002	4.9172e-002	2.7636e-006
66689	3.0491e-002	3.1619e-002	4.9163e-002	2.907e-006
66690	3.0967e-002	3.1214e-002	4.9218e-002	2.3144e-006
66696	3.2866e-002	3.1674e-002	4.9251e-002	3.165e-006
66697	3.2681e-002	3.195e-002	4.9205e-002	3.5753e-006
66698	3.2156e-002	3.1653e-002	4.9204e-002	3.0193e-006
66699	3.2333e-002	3.1955e-002	4.918e-002	3.5356e-006
66704	3.3864e-002	3.3368e-002	4.9197e-002	5.9404e-006
66705	3.3759e-002	3.3732e-002	4.9165e-002	6.7846e-006
66706	3.3954e-002	3.4031e-002	4.9175e-002	7.0108e-006
66710	3.4399e-002	3.4807e-002	4.9214e-002	7.0321e-006
66711	3.4036e-002	3.4366e-002	4.9174e-002	7.3522e-006
66712	3.4069e-002	3.4711e-002	4.9172e-002	7.6512e-006
66713	3.4279e-002	3.4089e-002	4.9214e-002	6.5614e-006
66718	3.4453e-002	3.5478e-002	4.9223e-002	7.0477e-006
66719	3.4431e-002	3.6115e-002	4.9235e-002	6.7535e-006
66720	3.4188e-002	3.5664e-002	4.919e-002	7.5343e-006
66721	3.4168e-002	3.598e-002	4.9196e-002	7.3517e-006
66726	3.0458e-002	3.8981e-002	4.9218e-002	2.2074e-006
66727	3.0249e-002	3.8703e-002	4.9182e-002	2.5087e-006
66728	2.9862e-002	3.9033e-002	4.9233e-002	2.0312e-006
66729	2.9925e-002	3.8744e-002	4.9192e-002	2.3977e-006
66734	3.1146e-002	3.8904e-002	4.9213e-002	2.5494e-006
66735	3.1602e-002	3.851e-002	4.9176e-002	3.3611e-006
66736	3.1259e-002	3.8572e-002	4.9173e-002	3.0763e-006
66741	3.252e-002	3.8512e-002	4.9226e-002	3.7815e-006
66742	3.2268e-002	3.8323e-002	4.9187e-002	4.0347e-006
66743	3.1947e-002	3.8432e-002	4.9182e-002	3.6816e-006
66744	3.1857e-002	3.8751e-002	4.9217e-002	3.1046e-006
66748	2.8314e-002	3.8074e-002	4.9195e-002	3.3522e-006
66749	2.8096e-002	3.7827e-002	4.9188e-002	3.7556e-006
66750	2.8221e-002	3.8363e-002	4.9235e-002	2.8251e-006
66754	2.7875e-002	3.7562e-002	4.9184e-002	4.171e-006
66755	2.7671e-002	3.7312e-002	4.9183e-002	4.5211e-006
66756	2.7333e-002	3.7317e-002	4.922e-002	4.1782e-006
66757	2.776e-002	3.7868e-002	4.9223e-002	3.5072e-006
66761	2.7082e-002	3.6107e-002	4.918e-002	5.8072e-006
66762	2.7196e-002	3.6415e-002	4.9179e-002	5.5685e-006
66763	2.6773e-002	3.6095e-002	4.9219e-002	5.2204e-006
66764	2.7011e-002	3.67e-002	4.9216e-002	4.8141e-006
66770	2.6419e-002	3.6023e-002	4.9266e-002	4.6871e-006
66771	2.6161e-002	3.5831e-002	4.93e-002	4.4205e-006
66772	2.653e-002	3.634e-002	4.9262e-002	4.5619e-006
66777	2.6816e-002	3.7e-002	4.926e-002	4.1242e-006
66778	2.6665e-002	3.6675e-002	4.926e-002	4.3675e-006
66779	2.6322e-002	3.6619e-002	4.9307e-002	3.9942e-006
66782	2.9766e-002	3.9319e-002	4.9277e-002	1.7167e-006
66783	3.0021e-002	3.9288e-002	4.9266e-002	1.7827e-006
66787	3.0656e-002	3.9267e-002	4.9259e-002	1.9526e-006
66788	3.034e-002	3.9294e-002	4.9263e-002	1.8406e-006
66789	3.0195e-002	3.9577e-002	4.9308e-002	1.5487e-006
66793	3.4582e-002	3.6579e-002	4.9277e-002	6.0872e-006
66794	3.4409e-002	3.6837e-002	4.9268e-002	6.0076e-006
66797	3.4065e-002	3.7431e-002	4.9266e-002	5.4782e-006
66798	3.4238e-002	3.7108e-002	4.9263e-002	5.8245e-006
66799	3.4559e-002	3.7138e-002	4.9309e-002	5.4725e-006
66803	3.467e-002	3.6279e-002	4.9276e-002	6.2434e-006
66804	3.4704e-002	3.5997e-002	4.927e-002	6.3934e-006
66805	3.4853e-002	3.6558e-002	4.9317e-002	5.766e-006
